Time(dd/mm/yyyy),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
31/07/2022 22:53:43,"457","24,0","49","982"
31/07/2022 22:58:43,"444","24,1","49","982"
31/07/2022 23:03:43,"457","24,0","49","982"
31/07/2022 23:08:43,"444","24,0","49","983"
31/07/2022 23:13:43,"445","24,0","49","983"
31/07/2022 23:18:43,"454","24,1","48","983"
31/07/2022 23:23:43,"432","24,1","48","983"
31/07/2022 23:28:43,"442","24,1","48","983"
31/07/2022 23:33:43,"469","24,0","48","983"
31/07/2022 23:38:43,"455","24,0","48","983"
31/07/2022 23:43:43,"448","24,0","48","983"
31/07/2022 23:48:43,"446","23,9","48","983"
31/07/2022 23:53:43,"440","23,9","48","983"
31/07/2022 23:58:43,"449","23,8","48","983"
01/08/2022 0:03:43,"456","23,8","48","983"
01/08/2022 0:08:43,"460","23,7","48","983"
01/08/2022 0:13:43,"456","23,7","48","983"
01/08/2022 0:18:43,"451","23,7","48","983"
01/08/2022 0:23:43,"448","23,7","48","983"
01/08/2022 0:28:43,"451","23,7","48","983"
01/08/2022 0:33:43,"448","23,7","48","983"
01/08/2022 0:38:43,"440","23,7","48","983"
01/08/2022 0:43:43,"440","23,7","48","983"
01/08/2022 0:48:43,"448","23,7","48","983"
01/08/2022 0:53:43,"444","23,7","48","983"
01/08/2022 0:58:43,"444","23,7","48","983"
01/08/2022 1:03:43,"451","23,7","48","983"
01/08/2022 1:08:43,"436","23,7","48","983"
01/08/2022 1:13:43,"445","23,7","48","983"
01/08/2022 1:18:43,"446","23,7","48","983"
01/08/2022 1:23:43,"455","23,7","48","983"
01/08/2022 1:28:43,"447","23,7","48","983"
01/08/2022 1:33:43,"445","23,7","48","983"
01/08/2022 1:38:43,"446","23,7","47","983"
01/08/2022 1:43:43,"453","23,7","47","983"
01/08/2022 1:48:43,"452","23,7","47","983"
01/08/2022 1:53:43,"447","23,7","47","983"
01/08/2022 1:58:43,"453","23,7","47","983"
01/08/2022 2:03:43,"444","23,7","47","983"
01/08/2022 2:08:43,"440","23,7","47","983"
01/08/2022 2:13:43,"441","23,7","47","983"
01/08/2022 2:18:43,"452","23,7","47","983"
01/08/2022 2:23:43,"444","23,7","47","983"
01/08/2022 2:28:43,"451","23,7","47","983"
01/08/2022 2:33:43,"448","23,7","47","983"
01/08/2022 2:38:43,"442","23,7","47","983"
01/08/2022 2:43:43,"444","23,7","47","983"
01/08/2022 2:48:43,"439","23,7","47","983"
01/08/2022 2:53:43,"438","23,7","47","983"
01/08/2022 2:58:43,"448","23,7","47","983"
01/08/2022 3:03:43,"448","23,7","47","983"
01/08/2022 3:08:43,"445","23,7","47","983"
01/08/2022 3:13:43,"438","23,7","47","983"
01/08/2022 3:18:43,"434","23,7","47","983"
01/08/2022 3:23:43,"437","23,7","47","983"
01/08/2022 3:28:43,"429","23,7","47","983"
01/08/2022 3:33:43,"439","23,7","47","983"
01/08/2022 3:38:43,"452","23,7","47","983"
01/08/2022 3:43:43,"447","23,7","47","983"
01/08/2022 3:48:43,"450","23,7","47","983"
01/08/2022 3:53:43,"442","23,7","47","983"
01/08/2022 3:58:43,"446","23,7","47","983"
01/08/2022 4:03:43,"449","23,7","47","983"
01/08/2022 4:08:43,"437","23,7","47","983"
01/08/2022 4:13:43,"435","23,7","47","983"
01/08/2022 4:18:43,"440","23,7","47","983"
01/08/2022 4:23:43,"446","23,7","47","983"
01/08/2022 4:28:43,"435","23,7","47","983"
01/08/2022 4:33:43,"459","23,7","47","983"
01/08/2022 4:38:43,"446","23,7","47","983"
01/08/2022 4:43:43,"450","23,7","47","983"
01/08/2022 4:48:43,"438","23,7","47","983"
01/08/2022 4:53:43,"442","23,7","47","983"
01/08/2022 4:58:43,"436","23,7","47","983"
01/08/2022 5:03:43,"434","23,7","47","983"
01/08/2022 5:08:43,"439","23,7","47","983"
01/08/2022 5:13:43,"440","23,7","47","982"
01/08/2022 5:18:43,"447","23,7","47","982"
01/08/2022 5:23:43,"444","23,7","47","982"
01/08/2022 5:28:43,"454","23,7","47","983"
01/08/2022 5:33:43,"453","23,7","48","983"
01/08/2022 5:38:43,"449","23,7","48","983"
01/08/2022 5:43:43,"443","23,7","48","983"
01/08/2022 5:48:43,"455","23,7","48","983"
01/08/2022 5:53:43,"455","23,7","48","983"
01/08/2022 5:58:43,"455","23,6","48","983"
01/08/2022 6:03:43,"455","23,6","48","983"
01/08/2022 6:08:43,"463","23,6","48","983"
01/08/2022 6:13:43,"447","23,6","48","983"
01/08/2022 6:18:43,"458","23,6","49","983"
01/08/2022 6:23:43,"461","23,6","49","983"
01/08/2022 6:28:43,"452","23,6","49","983"
01/08/2022 6:33:43,"450","23,6","49","983"
01/08/2022 6:38:43,"461","23,6","49","983"
01/08/2022 6:43:43,"465","23,6","49","983"
01/08/2022 6:48:43,"455","23,6","49","983"
01/08/2022 6:53:43,"468","23,6","49","983"
01/08/2022 6:58:43,"455","23,6","49","983"
01/08/2022 7:03:43,"455","23,6","49","983"
01/08/2022 7:08:43,"453","23,6","49","983"
01/08/2022 7:13:43,"458","23,6","50","983"
01/08/2022 7:18:43,"445","23,6","50","983"
01/08/2022 7:23:43,"459","23,6","50","983"
01/08/2022 7:28:43,"497","23,7","49","983"
01/08/2022 7:33:43,"508","23,8","49","983"
01/08/2022 7:38:43,"490","24,0","49","983"
01/08/2022 7:43:43,"486","24,0","48","983"
01/08/2022 7:48:43,"491","24,1","48","983"
01/08/2022 7:53:43,"488","24,2","48","983"
01/08/2022 7:58:43,"491","24,2","48","983"
01/08/2022 8:03:43,"485","24,2","48","983"
01/08/2022 8:08:43,"510","24,2","48","983"
01/08/2022 8:13:43,"494","24,2","48","983"
01/08/2022 8:18:43,"520","24,3","48","983"
01/08/2022 8:23:43,"602","24,4","48","983"
01/08/2022 8:28:43,"550","24,7","48","983"
01/08/2022 8:33:43,"529","24,9","47","983"
01/08/2022 8:38:43,"521","25,2","47","983"
01/08/2022 8:43:43,"530","25,3","46","983"
01/08/2022 8:48:43,"554","25,5","46","983"
01/08/2022 8:53:43,"556","25,6","46","983"
01/08/2022 8:58:43,"526","25,7","46","983"
01/08/2022 9:03:43,"555","25,7","46","983"
01/08/2022 9:08:43,"583","25,7","46","983"
01/08/2022 9:13:43,"613","25,7","46","983"
01/08/2022 9:18:43,"628","25,7","47","983"
01/08/2022 9:23:43,"624","25,6","47","983"
01/08/2022 9:28:43,"626","25,7","46","983"
01/08/2022 9:33:43,"620","25,7","46","983"
01/08/2022 9:38:43,"625","25,7","46","983"
01/08/2022 9:43:43,"640","25,7","46","983"
01/08/2022 9:48:43,"664","25,6","46","983"
01/08/2022 9:53:43,"670","25,6","46","983"
01/08/2022 9:58:43,"605","25,7","48","983"
01/08/2022 10:03:43,"563","25,3","49","983"
01/08/2022 10:08:43,"538","24,9","51","983"
01/08/2022 10:13:43,"591","25,0","50","983"
01/08/2022 10:18:43,"649","25,3","49","983"
01/08/2022 10:23:43,"659","25,5","48","983"
01/08/2022 10:28:43,"683","25,6","48","983"
01/08/2022 10:33:43,"682","25,7","47","983"
01/08/2022 10:38:43,"651","25,7","47","983"
01/08/2022 10:43:43,"642","25,7","47","983"
01/08/2022 10:48:43,"630","25,8","47","983"
01/08/2022 10:53:43,"619","25,8","47","983"
01/08/2022 10:58:43,"616","25,9","46","983"
01/08/2022 11:03:43,"611","25,8","46","983"
01/08/2022 11:08:43,"568","25,6","48","983"
01/08/2022 11:13:43,"585","25,3","49","983"
01/08/2022 11:18:43,"643","25,4","49","983"
01/08/2022 11:23:43,"649","25,6","48","983"
01/08/2022 11:28:43,"629","25,7","48","983"
01/08/2022 11:33:43,"620","25,6","48","983"
01/08/2022 11:38:43,"605","25,6","48","983"
01/08/2022 11:43:43,"567","25,4","48","983"
01/08/2022 11:48:43,"552","25,3","48","984"
01/08/2022 11:53:43,"518","25,2","48","984"
01/08/2022 11:58:43,"520","25,1","49","984"
01/08/2022 12:03:43,"518","25,0","49","983"
01/08/2022 12:08:43,"502","25,0","49","984"
01/08/2022 12:13:43,"500","24,9","49","984"
01/08/2022 12:18:43,"496","24,6","49","984"
01/08/2022 12:23:43,"527","24,4","51","983"
01/08/2022 12:28:43,"524","24,3","51","984"
01/08/2022 12:33:43,"530","24,2","51","983"
01/08/2022 12:38:43,"534","24,2","52","984"
01/08/2022 12:43:43,"525","24,2","52","984"
01/08/2022 12:48:43,"514","24,2","52","983"
01/08/2022 12:53:43,"524","24,2","52","984"
01/08/2022 12:58:43,"540","24,3","52","983"
01/08/2022 13:03:43,"523","24,4","52","984"
01/08/2022 13:08:43,"536","24,4","51","984"
01/08/2022 13:13:43,"515","24,4","51","984"
01/08/2022 13:18:43,"518","24,4","51","984"
01/08/2022 13:23:43,"542","24,6","51","984"
01/08/2022 13:28:43,"536","24,6","50","984"
01/08/2022 13:33:43,"521","24,7","50","984"
01/08/2022 13:38:43,"505","24,7","50","984"
01/08/2022 13:43:43,"507","24,8","50","984"
01/08/2022 13:48:43,"502","24,9","50","983"
01/08/2022 13:53:43,"500","24,9","50","984"
01/08/2022 13:58:43,"484","24,9","49","983"
01/08/2022 14:03:43,"497","24,9","49","983"
01/08/2022 14:08:43,"492","24,8","50","983"
01/08/2022 14:13:43,"497","24,7","50","983"
01/08/2022 14:18:43,"536","25,0","50","983"
01/08/2022 14:23:43,"556","25,3","49","983"
01/08/2022 14:28:43,"577","25,5","49","983"
01/08/2022 14:33:43,"581","25,7","49","983"
01/08/2022 14:38:43,"598","25,8","49","983"
01/08/2022 14:43:43,"606","25,8","49","983"
01/08/2022 14:48:43,"584","25,9","49","983"
01/08/2022 14:53:43,"593","26,0","48","983"
01/08/2022 14:58:43,"614","26,0","48","983"
01/08/2022 15:03:43,"591","26,1","48","983"
01/08/2022 15:08:43,"521","25,9","48","983"
01/08/2022 15:13:43,"545","25,8","49","983"
01/08/2022 15:18:43,"563","26,0","48","983"
01/08/2022 15:23:43,"579","26,1","48","983"
01/08/2022 15:28:43,"603","26,1","48","983"
01/08/2022 15:33:43,"620","26,2","48","983"
01/08/2022 15:38:43,"629","26,3","48","983"
01/08/2022 15:43:43,"641","26,3","48","983"
01/08/2022 15:48:43,"607","26,3","48","983"
01/08/2022 15:53:43,"650","26,3","48","983"
01/08/2022 15:58:43,"620","26,4","48","983"
01/08/2022 16:03:43,"652","26,4","48","983"
01/08/2022 16:08:43,"626","26,5","48","983"
01/08/2022 16:13:43,"643","26,5","47","983"
01/08/2022 16:18:43,"642","26,5","47","983"
01/08/2022 16:23:43,"627","26,5","47","983"
01/08/2022 16:28:43,"638","26,5","47","983"
01/08/2022 16:33:43,"626","26,5","47","983"
01/08/2022 16:38:43,"500","26,1","48","983"
01/08/2022 16:43:43,"472","25,8","48","983"
01/08/2022 16:48:43,"539","25,8","48","983"
01/08/2022 16:53:43,"539","26,0","48","983"
01/08/2022 16:58:43,"547","26,0","48","983"
01/08/2022 17:03:43,"518","26,0","48","983"
01/08/2022 17:08:43,"547","26,0","48","983"
01/08/2022 17:13:43,"537","25,8","48","983"
01/08/2022 17:18:43,"537","25,6","48","983"
01/08/2022 17:23:43,"527","25,5","48","983"
01/08/2022 17:28:43,"526","25,3","49","983"
01/08/2022 17:33:43,"512","25,2","49","983"
01/08/2022 17:38:43,"492","25,0","49","983"
01/08/2022 17:43:43,"499","24,9","49","983"
01/08/2022 17:48:43,"481","24,8","50","983"
01/08/2022 17:53:43,"495","24,6","50","983"
01/08/2022 17:58:43,"487","24,5","50","983"
01/08/2022 18:03:43,"492","24,4","50","983"
01/08/2022 18:08:43,"477","24,4","51","983"
01/08/2022 18:13:43,"478","24,3","51","983"
01/08/2022 18:18:43,"476","24,2","51","983"
01/08/2022 18:23:43,"481","24,2","51","983"
01/08/2022 18:28:43,"460","24,1","51","983"
01/08/2022 18:33:43,"466","24,1","52","983"
01/08/2022 18:38:43,"469","24,0","52","983"
01/08/2022 18:43:43,"462","24,0","52","983"
01/08/2022 18:48:43,"477","24,0","52","983"
01/08/2022 18:53:43,"469","24,0","52","983"
01/08/2022 18:58:43,"458","24,0","52","983"
01/08/2022 19:03:43,"458","24,0","52","983"
01/08/2022 19:08:43,"456","24,0","52","983"
01/08/2022 19:13:43,"458","24,0","52","983"
01/08/2022 19:18:43,"453","24,0","52","983"
01/08/2022 19:23:43,"449","24,0","52","983"
01/08/2022 19:28:43,"445","24,0","53","983"
01/08/2022 19:33:43,"460","24,0","53","983"
01/08/2022 19:38:43,"455","24,0","53","983"
01/08/2022 19:43:43,"459","24,0","53","983"
01/08/2022 19:48:43,"455","24,0","53","983"
01/08/2022 19:53:43,"450","24,0","53","983"
01/08/2022 19:58:43,"446","24,0","53","983"
01/08/2022 20:03:43,"451","24,0","53","983"
01/08/2022 20:08:43,"456","24,0","53","983"
01/08/2022 20:13:43,"453","24,0","53","983"
01/08/2022 20:18:43,"452","24,0","53","983"
01/08/2022 20:23:43,"447","24,0","53","983"
01/08/2022 20:28:43,"452","24,0","53","983"
01/08/2022 20:33:43,"453","24,0","53","983"
01/08/2022 20:38:43,"446","24,0","53","983"
01/08/2022 20:43:43,"458","24,0","53","983"
01/08/2022 20:48:43,"452","24,0","53","983"
01/08/2022 20:53:43,"453","24,0","53","983"
01/08/2022 20:58:43,"449","24,0","53","983"
01/08/2022 21:03:43,"443","24,0","53","983"
01/08/2022 21:08:43,"451","23,9","53","983"
01/08/2022 21:13:43,"447","24,0","53","983"
01/08/2022 21:18:43,"439","24,0","53","983"
01/08/2022 21:23:43,"457","23,9","53","983"
01/08/2022 21:28:43,"459","23,9","53","983"
01/08/2022 21:33:43,"445","23,9","53","983"
01/08/2022 21:38:43,"455","23,9","53","983"
01/08/2022 21:43:43,"454","23,9","53","983"
01/08/2022 21:48:43,"442","23,9","53","983"
01/08/2022 21:53:43,"469","23,9","53","984"
01/08/2022 21:58:43,"456","23,9","53","983"
01/08/2022 22:03:43,"454","23,9","53","984"
01/08/2022 22:08:43,"452","23,9","53","984"
01/08/2022 22:13:43,"447","23,9","53","984"
01/08/2022 22:18:43,"454","23,9","53","984"
01/08/2022 22:23:43,"453","23,9","53","984"
01/08/2022 22:28:43,"450","23,9","53","984"
01/08/2022 22:33:43,"444","23,9","53","984"
01/08/2022 22:38:43,"458","23,9","53","984"
01/08/2022 22:43:43,"445","23,9","53","984"
01/08/2022 22:48:43,"455","23,9","53","984"
01/08/2022 22:53:43,"459","23,9","53","984"
01/08/2022 22:58:43,"455","23,9","53","984"
01/08/2022 23:03:43,"459","23,9","53","984"
01/08/2022 23:08:43,"458","23,9","53","984"
01/08/2022 23:13:43,"454","23,9","53","984"
01/08/2022 23:18:43,"449","23,9","53","984"
01/08/2022 23:23:43,"460","23,9","53","984"
01/08/2022 23:28:43,"454","23,9","53","984"
01/08/2022 23:33:43,"463","23,9","53","984"
01/08/2022 23:38:43,"459","23,9","53","984"
01/08/2022 23:43:43,"453","23,9","53","984"
01/08/2022 23:48:43,"455","23,9","53","984"
01/08/2022 23:53:43,"449","23,9","52","984"
01/08/2022 23:58:43,"455","23,8","52","984"
02/08/2022 0:03:43,"450","23,8","52","984"
02/08/2022 0:08:43,"460","23,8","52","984"
02/08/2022 0:13:43,"445","23,8","52","984"
02/08/2022 0:18:43,"446","23,8","52","984"
02/08/2022 0:23:43,"454","23,8","52","984"
02/08/2022 0:28:43,"459","23,8","52","984"
02/08/2022 0:33:43,"450","23,8","52","984"
02/08/2022 0:38:43,"445","23,8","52","984"
02/08/2022 0:43:43,"462","23,8","52","984"
02/08/2022 0:48:43,"458","23,8","52","984"
02/08/2022 0:53:43,"464","23,8","52","984"
02/08/2022 0:58:43,"468","23,8","52","984"
02/08/2022 1:03:43,"459","23,8","52","984"
02/08/2022 1:08:43,"457","23,8","52","984"
02/08/2022 1:13:43,"457","23,8","52","984"
02/08/2022 1:18:43,"469","23,7","52","984"
02/08/2022 1:23:43,"455","23,7","52","984"
02/08/2022 1:28:43,"461","23,7","52","984"
02/08/2022 1:33:43,"456","23,7","52","984"
02/08/2022 1:38:43,"461","23,7","52","984"
02/08/2022 1:43:43,"459","23,7","52","984"
02/08/2022 1:48:43,"464","23,7","52","984"
02/08/2022 1:53:43,"454","23,7","52","984"
02/08/2022 1:58:43,"461","23,7","52","984"
02/08/2022 2:03:43,"439","23,7","52","984"
02/08/2022 2:08:43,"461","23,7","52","984"
02/08/2022 2:13:43,"459","23,7","52","984"
02/08/2022 2:18:43,"459","23,7","52","984"
02/08/2022 2:23:43,"464","23,7","52","984"
02/08/2022 2:28:43,"468","23,7","52","984"
02/08/2022 2:33:43,"453","23,7","52","984"
02/08/2022 2:38:43,"452","23,6","52","984"
02/08/2022 2:43:43,"455","23,6","52","984"
02/08/2022 2:48:43,"458","23,6","52","984"
02/08/2022 2:53:43,"456","23,6","52","984"
02/08/2022 2:58:43,"438","23,6","52","984"
02/08/2022 3:03:43,"445","23,6","52","984"
02/08/2022 3:08:43,"458","23,6","52","984"
02/08/2022 3:13:43,"449","23,6","52","984"
02/08/2022 3:18:43,"447","23,6","52","984"
02/08/2022 3:23:43,"437","23,6","52","984"
02/08/2022 3:28:43,"456","23,6","52","984"
02/08/2022 3:33:43,"464","23,6","52","984"
02/08/2022 3:38:43,"455","23,5","52","984"
02/08/2022 3:43:43,"463","23,5","52","984"
02/08/2022 3:48:43,"444","23,6","52","984"
02/08/2022 3:53:43,"450","23,5","52","984"
02/08/2022 3:58:43,"461","23,5","52","984"
02/08/2022 4:03:43,"457","23,6","52","984"
02/08/2022 4:08:43,"461","23,5","52","984"
02/08/2022 4:13:43,"456","23,5","52","984"
02/08/2022 4:18:43,"454","23,5","52","984"
02/08/2022 4:23:43,"457","23,5","52","984"
02/08/2022 4:28:43,"459","23,5","52","984"
02/08/2022 4:33:43,"453","23,5","51","984"
02/08/2022 4:38:43,"448","23,5","51","984"
02/08/2022 4:43:43,"455","23,5","51","984"
02/08/2022 4:48:43,"446","23,5","51","984"
02/08/2022 4:53:43,"459","23,5","51","984"
02/08/2022 4:58:43,"455","23,5","51","984"
02/08/2022 5:03:43,"462","23,5","51","984"
02/08/2022 5:08:43,"458","23,4","51","984"
02/08/2022 5:13:43,"453","23,4","51","984"
02/08/2022 5:18:43,"455","23,4","51","984"
02/08/2022 5:23:43,"461","23,4","51","984"
02/08/2022 5:28:43,"456","23,4","51","984"
02/08/2022 5:33:43,"465","23,4","51","984"
02/08/2022 5:38:43,"462","23,4","51","984"
02/08/2022 5:43:43,"469","23,4","51","984"
02/08/2022 5:48:43,"470","23,4","51","984"
02/08/2022 5:53:43,"468","23,4","51","984"
